date,sector,above_50sma,above_200sma,new_52w_high,new_52w_low
2024-01-05,Communication Services,,,,
2024-01-05,Consumer Discretionary,,,,
2024-01-05,Consumer Staples,,,,
2024-01-05,Energy,,,,
2024-01-05,Financials,,,,
2024-01-05,Health Care,,,,
2024-01-05,Industrials,,,,
2024-01-05,Information Technology,,,,
2024-01-05,Materials,,,,
2024-01-05,Real Estate,,,,
2024-01-05,Utilities,,,,
2024-01-12,Communication Services,,,,
2024-01-12,Consumer Discretionary,,,,
2024-01-12,Consumer Staples,,,,
2024-01-12,Energy,,,,
2024-01-12,Financials,,,,
2024-01-12,Health Care,,,,
2024-01-12,Industrials,,,,
2024-01-12,Information Technology,,,,
2024-01-12,Materials,,,,
2024-01-12,Real Estate,,,,
2024-01-12,Utilities,,,,
2024-01-19,Communication Services,,,,
2024-01-19,Consumer Discretionary,,,,
2024-01-19,Consumer Staples,,,,
2024-01-19,Energy,,,,
2024-01-19,Financials,,,,
2024-01-19,Health Care,,,,
2024-01-19,Industrials,,,,
2024-01-19,Information Technology,,,,
2024-01-19,Materials,,,,
2024-01-19,Real Estate,,,,
2024-01-19,Utilities,,,,
2024-01-26,Communication Services,,,,
2024-01-26,Consumer Discretionary,,,,
2024-01-26,Consumer Staples,,,,
2024-01-26,Energy,,,,
2024-01-26,Financials,,,,
2024-01-26,Health Care,,,,
2024-01-26,Industrials,,,,
2024-01-26,Information Technology,,,,
2024-01-26,Materials,,,,
2024-01-26,Real Estate,,,,
2024-01-26,Utilities,,,,
2024-02-02,Communication Services,,,,
2024-02-02,Consumer Discretionary,,,,
2024-02-02,Consumer Staples,,,,
2024-02-02,Energy,,,,
2024-02-02,Financials,,,,
2024-02-02,Health Care,,,,
2024-02-02,Industrials,,,,
2024-02-02,Information Technology,,,,
2024-02-02,Materials,,,,
2024-02-02,Real Estate,,,,
2024-02-02,Utilities,,,,
2024-02-09,Communication Services,,,,
2024-02-09,Consumer Discretionary,,,,
2024-02-09,Consumer Staples,,,,
2024-02-09,Energy,,,,
2024-02-09,Financials,,,,
2024-02-09,Health Care,,,,
2024-02-09,Industrials,,,,
2024-02-09,Information Technology,,,,
2024-02-09,Materials,,,,
2024-02-09,Real Estate,,,,
2024-02-09,Utilities,,,,
2024-02-16,Communication Services,,,,
2024-02-16,Consumer Discretionary,,,,
2024-02-16,Consumer Staples,,,,
2024-02-16,Energy,,,,
2024-02-16,Financials,,,,
2024-02-16,Health Care,,,,
2024-02-16,Industrials,,,,
2024-02-16,Information Technology,,,,
2024-02-16,Materials,,,,
2024-02-16,Real Estate,,,,
2024-02-16,Utilities,,,,
2024-02-23,Communication Services,,,,
2024-02-23,Consumer Discretionary,,,,
2024-02-23,Consumer Staples,,,,
2024-02-23,Energy,,,,
2024-02-23,Financials,,,,
2024-02-23,Health Care,,,,
2024-02-23,Industrials,,,,
2024-02-23,Information Technology,,,,
2024-02-23,Materials,,,,
2024-02-23,Real Estate,,,,
2024-02-23,Utilities,,,,
2024-03-01,Communication Services,,,,
2024-03-01,Consumer Discretionary,,,,
2024-03-01,Consumer Staples,,,,
2024-03-01,Energy,,,,
2024-03-01,Financials,,,,
2024-03-01,Health Care,,,,
2024-03-01,Industrials,,,,
2024-03-01,Information Technology,,,,
2024-03-01,Materials,,,,
2024-03-01,Real Estate,,,,
2024-03-01,Utilities,,,,
2024-03-08,Communication Services,,,,
2024-03-08,Consumer Discretionary,,,,
2024-03-08,Consumer Staples,,,,
2024-03-08,Energy,,,,
2024-03-08,Financials,,,,
2024-03-08,Health Care,,,,
2024-03-08,Industrials,,,,
2024-03-08,Information Technology,,,,
2024-03-08,Materials,,,,
2024-03-08,Real Estate,,,,
2024-03-08,Utilities,,,,
2024-03-15,Communication Services,39.130434782608695,,,
2024-03-15,Consumer Discretionary,77.08333333333334,,,
2024-03-15,Consumer Staples,72.22222222222221,,,
2024-03-15,Energy,95.45454545454545,,,
2024-03-15,Financials,84.21052631578947,,,
2024-03-15,Health Care,66.10169491525424,,,
2024-03-15,Industrials,79.48717948717949,,,
2024-03-15,Information Technology,63.76811594202898,,,
2024-03-15,Materials,88.46153846153845,,,
2024-03-15,Real Estate,54.83870967741935,,,
2024-03-15,Utilities,77.41935483870968,,,
2024-03-22,Communication Services,47.82608695652174,,,
2024-03-22,Consumer Discretionary,79.16666666666666,,,
2024-03-22,Consumer Staples,83.33333333333334,,,
2024-03-22,Energy,95.45454545454545,,,
2024-03-22,Financials,89.47368421052632,,,
2024-03-22,Health Care,66.10169491525424,,,
2024-03-22,Industrials,88.46153846153845,,,
2024-03-22,Information Technology,73.91304347826086,,,
2024-03-22,Materials,92.3076923076923,,,
2024-03-22,Real Estate,48.38709677419355,,,
2024-03-22,Utilities,80.64516129032258,,,
2024-03-28,Communication Services,78.26086956521739,,,
2024-03-28,Consumer Discretionary,79.16666666666666,,,
2024-03-28,Consumer Staples,91.66666666666666,,,
2024-03-28,Energy,100.0,,,
2024-03-28,Financials,93.42105263157895,,,
2024-03-28,Health Care,71.1864406779661,,,
2024-03-28,Industrials,91.02564102564102,,,
2024-03-28,Information Technology,73.91304347826086,,,
2024-03-28,Materials,100.0,,,
2024-03-28,Real Estate,83.87096774193549,,,
2024-03-28,Utilities,96.7741935483871,,,
2024-04-05,Communication Services,56.52173913043478,,,
2024-04-05,Consumer Discretionary,68.75,,,
2024-04-05,Consumer Staples,63.888888888888886,,,
2024-04-05,Energy,100.0,,,
2024-04-05,Financials,88.1578947368421,,,
2024-04-05,Health Care,55.932203389830505,,,
2024-04-05,Industrials,79.48717948717949,,,
2024-04-05,Information Technology,65.21739130434783,,,
2024-04-05,Materials,92.3076923076923,,,
2024-04-05,Real Estate,64.51612903225806,,,
2024-04-05,Utilities,93.54838709677419,,,
2024-04-12,Communication Services,43.47826086956522,,,
2024-04-12,Consumer Discretionary,43.75,,,
2024-04-12,Consumer Staples,47.22222222222222,,,
2024-04-12,Energy,100.0,,,
2024-04-12,Financials,44.73684210526316,,,
2024-04-12,Health Care,22.033898305084744,,,
2024-04-12,Industrials,58.97435897435898,,,
2024-04-12,Information Technology,34.78260869565217,,,
2024-04-12,Materials,65.38461538461539,,,
2024-04-12,Real Estate,38.70967741935484,,,
2024-04-12,Utilities,61.29032258064516,,,
2024-04-19,Communication Services,39.130434782608695,,,
2024-04-19,Consumer Discretionary,20.833333333333336,,,
2024-04-19,Consumer Staples,61.111111111111114,,,
2024-04-19,Energy,95.45454545454545,,,
2024-04-19,Financials,44.73684210526316,,,
2024-04-19,Health Care,16.94915254237288,,,
2024-04-19,Industrials,32.05128205128205,,,
2024-04-19,Information Technology,11.594202898550725,,,
2024-04-19,Materials,34.61538461538461,,,
2024-04-19,Real Estate,25.806451612903224,,,
2024-04-19,Utilities,93.54838709677419,,,
2024-04-26,Communication Services,39.130434782608695,,,
2024-04-26,Consumer Discretionary,39.58333333333333,,,
2024-04-26,Consumer Staples,66.66666666666666,,,
2024-04-26,Energy,90.9090909090909,,,
2024-04-26,Financials,43.42105263157895,,,
2024-04-26,Health Care,22.033898305084744,,,
2024-04-26,Industrials,48.717948717948715,,,
2024-04-26,Information Technology,36.231884057971016,,,
2024-04-26,Materials,42.30769230769231,,,
2024-04-26,Real Estate,48.38709677419355,,,
2024-04-26,Utilities,100.0,,,
2024-05-03,Communication Services,43.47826086956522,,,
2024-05-03,Consumer Discretionary,31.25,,,
2024-05-03,Consumer Staples,52.77777777777778,,,
2024-05-03,Energy,54.54545454545454,,,
2024-05-03,Financials,48.68421052631579,,,
2024-05-03,Health Care,25.423728813559322,,,
2024-05-03,Industrials,39.743589743589745,,,
2024-05-03,Information Technology,34.78260869565217,,,
2024-05-03,Materials,46.15384615384615,,,
2024-05-03,Real Estate,54.83870967741935,,,
2024-05-03,Utilities,100.0,,,
2024-05-10,Communication Services,52.17391304347826,,,
2024-05-10,Consumer Discretionary,35.41666666666667,,,
2024-05-10,Consumer Staples,66.66666666666666,,,
2024-05-10,Energy,63.63636363636363,,,
2024-05-10,Financials,72.36842105263158,,,
2024-05-10,Health Care,50.847457627118644,,,
2024-05-10,Industrials,61.53846153846154,,,
2024-05-10,Information Technology,47.82608695652174,,,
2024-05-10,Materials,69.23076923076923,,,
2024-05-10,Real Estate,58.06451612903226,,,
2024-05-10,Utilities,100.0,,,
2024-05-17,Communication Services,65.21739130434783,,,
2024-05-17,Consumer Discretionary,39.58333333333333,,,
2024-05-17,Consumer Staples,61.111111111111114,,,
2024-05-17,Energy,63.63636363636363,,,
2024-05-17,Financials,78.94736842105263,,,
2024-05-17,Health Care,62.71186440677966,,,
2024-05-17,Industrials,58.97435897435898,,,
