ticker,pattern_type,pattern_score,vcp_found,vcp_contractions,vcp_depth_pct,vcp_volume_dry_up,cup_found,double_bottom_found,flat_base_found
AAPL,vcp,94.9,True,5,7.28,True,True,False,True
ABBV,vcp,86.7,True,6,7.16,False,True,False,True
ADI,vcp,86.5,True,6,7.42,False,False,False,False
ADM,vcp,85.5,True,6,9.16,False,False,False,True
AEP,vcp,76.1,True,3,6.14,False,False,False,True
AES,vcp,85.8,True,6,8.67,False,True,True,False
AKAM,vcp,86.2,True,6,8.0,False,True,False,False
ALB,vcp,77.5,True,5,16.22,False,True,False,False
AMAT,vcp,85.4,True,6,9.36,False,True,False,False
AME,vcp,84.2,True,5,4.68,False,False,False,True
AMGN,vcp,83.4,True,5,6.49,False,True,False,True
AOS,vcp,99.1,True,6,6.47,True,False,False,False
APA,vcp,84.2,True,6,11.3,False,True,False,False
APH,vcp,86.1,True,6,8.09,False,False,True,False
ATO,vcp,100.0,True,6,4.94,True,False,False,True
BEN,vcp,82.1,True,5,8.65,False,False,False,True
BG,vcp,86.1,True,6,8.09,False,True,False,True
BIIB,vcp,96.5,True,6,10.8,True,True,True,False
BK,vcp,87.5,True,6,5.78,False,False,False,True
BKR,vcp,77.4,True,4,10.15,False,True,False,False
BMY,vcp,82.2,True,5,8.39,False,True,False,True
C,vcp,82.3,True,5,8.19,False,False,True,True
CAH,vcp,99.7,True,6,5.42,True,False,False,True
CAT,none,0.0,False,0,0.0,False,False,False,False
CBOE,vcp,99.8,True,6,5.41,True,False,True,True
CCL,vcp,78.9,True,5,13.89,False,False,False,False
CFG,vcp,82.9,True,5,7.27,False,True,True,True
CHRW,vcp,83.1,True,5,6.92,False,False,False,False
CIEN,vcp,82.8,True,6,13.61,False,True,False,False
CINF,vcp,99.8,True,6,5.39,True,False,True,True
CME,vcp,87.7,True,6,5.48,False,False,False,True
CMI,vcp,82.4,True,5,8.02,False,True,False,True
CNP,vcp,83.9,True,5,5.51,False,False,False,True
COP,vcp,86.2,True,6,7.99,False,True,False,False
COR,vcp,86.6,True,6,7.28,False,False,True,True
CSCO,vcp,87.7,True,6,5.53,False,False,True,False
CSX,vcp,75.6,True,3,6.99,False,False,True,False
CTRA,vcp,93.6,True,5,9.38,True,True,False,False
CVS,vcp,85.8,True,6,8.69,False,True,False,False
CVX,vcp,91.9,True,4,6.06,True,True,False,True
D,vcp,79.3,True,4,7.04,False,False,True,True
DAL,vcp,85.9,True,6,8.5,False,True,False,False
DD,vcp,99.2,True,6,6.25,True,True,False,False
DG,vcp,81.4,True,5,9.82,False,True,False,True
DGX,vcp,86.9,True,6,6.81,False,False,False,False
DOV,vcp,91.1,True,4,7.33,True,True,False,False
DVN,vcp,85.7,True,6,8.79,False,True,False,False
ECL,vcp,74.9,True,3,8.14,False,False,False,True
EIX,vcp,79.0,True,4,7.56,False,True,True,False
EL,vcp,85.1,True,6,9.76,False,False,False,False
EME,vcp,85.3,True,6,9.57,False,False,False,False
EMR,vcp,86.8,True,6,7.02,False,False,True,True
ES,double_bottom,69.0,False,0,0.0,False,False,True,True
ETR,vcp,88.0,True,6,4.82,False,False,False,True
EVRG,flat_base,67.6,False,0,0.0,False,False,False,True
F,vcp,86.7,True,6,7.22,False,False,False,True
FANG,vcp,86.3,True,6,7.76,False,True,False,False
FCX,vcp,84.9,True,6,10.22,False,True,False,False
FDX,vcp,75.4,True,3,7.24,False,True,False,False
FE,flat_base,67.5,False,0,0.0,False,False,False,True
FITB,vcp,87.1,True,6,6.57,False,True,False,True
FIX,vcp,84.5,True,6,10.8,False,False,False,False
FRT,vcp,87.8,True,6,5.34,False,True,True,True
GE,vcp,86.9,True,6,6.88,False,False,True,False
GEHC,flat_base,66.5,False,0,0.0,False,False,False,True
GEV,none,0.0,False,0,0.0,False,False,False,False
GILD,vcp,86.8,True,6,7.04,False,False,False,False
GL,vcp,99.1,True,6,6.51,True,False,True,True
GLW,vcp,85.8,True,6,8.6,False,False,False,False
GS,vcp,86.9,True,6,6.86,False,False,True,True
HAL,vcp,76.3,True,4,11.96,False,True,False,True
HAS,vcp,86.8,True,6,7.02,False,False,False,False
HCA,vcp,86.5,True,6,7.43,False,True,False,False
HIG,vcp,78.8,True,4,7.82,False,False,False,True
HLT,vcp,99.0,True,6,6.59,True,False,False,True
HOLX,double_bottom,72.1,False,0,0.0,False,False,True,True
HST,vcp,83.1,True,5,6.85,False,False,False,True
HSY,vcp,93.9,True,5,8.94,True,True,False,False
HWM,vcp,99.3,True,6,6.2,True,False,False,False
IBKR,vcp,85.1,True,6,9.87,False,True,False,True
IVZ,vcp,97.7,True,6,8.85,True,True,False,False
JCI,vcp,94.7,True,5,7.51,True,False,True,False
JNJ,vcp,76.8,True,3,4.16,False,False,False,True
KEY,vcp,78.4,True,4,8.53,False,False,True,True
KIM,vcp,79.2,True,4,7.12,False,False,False,True
KLAC,vcp,84.8,True,6,10.41,False,False,False,False
LUV,vcp,85.2,True,6,9.61,False,True,False,False
MAS,vcp,85.2,True,6,9.66,False,True,False,False
MCHP,vcp,83.7,True,6,12.25,False,True,False,True
MCK,vcp,87.5,True,6,5.76,False,False,False,False
MLM,vcp,86.9,True,6,6.9,False,False,False,True
MMM,vcp,86.4,True,6,7.7,False,False,False,False
MNST,vcp,83.9,True,5,5.66,False,False,False,True
MO,vcp,90.6,True,4,8.23,True,False,False,False
MPWR,vcp,85.2,True,6,9.74,False,False,False,False
MRK,vcp,86.2,True,6,7.96,False,True,False,False
MRNA,vcp,84.5,True,4,18.29,True,True,False,False
MTB,vcp,83.2,True,5,6.77,False,False,False,True
NCLH,vcp,82.8,True,6,13.72,False,False,False,False
NDSN,vcp,95.5,True,5,6.3,True,False,False,True
NEE,vcp,83.0,True,5,7.15,False,False,False,True
NEM,vcp,84.2,True,6,11.37,False,False,False,False
NI,vcp,83.0,True,5,7.05,False,False,False,True
NOC,vcp,95.4,True,5,6.47,True,False,False,True
NSC,vcp,75.9,True,3,6.41,False,False,False,True
NTRS,vcp,82.8,True,5,7.42,False,False,True,True
