ticker,composite_score,tier,technical_score,fundamental_score,pattern_score,market_score,best_pattern,rs_rating,trend_template_pass,squeeze_fired,price,sector
GLW,87.37,A,93.56,87.0,85.84,78.27,vcp,98.0,True,False,150.3000030517578,Information Technology
STX,87.22,A,77.73,95.29,94.28,78.27,vcp,98.0,True,False,409.6700134277344,Information Technology
HWM,87.17,A,83.7,85.0,99.28,78.27,vcp,94.0,True,False,260.30999755859375,Industrials
MNST,86.86,A,90.53,90.0,83.85,78.27,vcp,86.0,True,False,86.66000366210938,Consumer Staples
TPR,86.5,A,90.31,95.0,76.68,78.27,vcp,96.0,True,False,160.49000549316406,Consumer Discretionary
ADI,86.02,A,87.46,88.0,86.55,78.27,vcp,93.0,True,False,354.3500061035156,Information Technology
CBOE,85.78,A,76.67,87.0,99.75,78.27,vcp,75.0,True,False,292.29998779296875,Financials
FIX,85.75,A,84.27,92.0,84.52,78.27,vcp,98.0,True,False,1438.22998046875,Industrials
SPG,85.42,A,72.25,90.0,100.0,78.27,vcp,64.0,True,False,202.60000610351562,Real Estate
WDC,85.26,A,83.7,92.0,83.23,78.27,vcp,99.0,True,False,282.25,Information Technology
GE,85.15,A,81.3,91.0,86.87,78.27,vcp,85.0,True,False,340.8399963378906,Industrials
NEM,85.09,A,82.34,92.0,84.18,78.27,vcp,97.0,True,False,127.47000122070312,Materials
APH,84.95,A,76.24,96.0,86.15,78.27,vcp,92.0,True,False,148.47000122070312,Information Technology
NEE,84.84,A,86.53,88.0,82.96,78.27,vcp,74.0,True,False,91.98999786376953,Utilities
KLAC,84.44,A,81.71,90.0,84.75,78.27,vcp,96.0,True,False,1524.31005859375,Information Technology
EIX,83.9,A,82.71,92.0,78.96,78.27,vcp,87.0,True,False,74.37000274658203,Utilities
PFG,83.64,A,78.86,91.0,83.75,78.27,vcp,70.0,True,False,97.5,Financials
IBKR,83.53,A,76.4,92.0,85.08,78.27,vcp,82.0,True,False,74.55999755859375,Financials
HCA,83.25,A,78.02,88.24,86.54,78.27,vcp,81.0,True,False,525.8800048828125,Health Care
RL,83.24,A,75.42,81.0,98.31,78.27,vcp,77.0,True,False,378.8500061035156,Consumer Discretionary
ROK,83.14,A,73.87,92.0,86.55,78.27,vcp,72.0,True,False,411.29998779296875,Industrials
GS,83.06,A,79.33,86.0,86.88,78.27,vcp,85.0,True,False,929.0,Financials
